fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
0.0,0.01078,0.01238,0.93745,0.00057,2.40966,0.90198,7.7007,0.28851,1.99365,0.01518,0.46563,0.43842,0.0,0.05472,0.44019,0.0,0.0,0.0,0.86236,0.0,0.79997,0.0,0.0,0.0
0.0,0.00996,0.01041,0.93416,0.00049,3.25357,0.78083,7.42366,0.48893,1.38488,0.01859,0.68745,0.42063,0.0,0.09826,0.57239,0.0,0.0,0.0,0.44231,0.0,1.0,0.0,0.0,0.0
0.0,0.01055,0.01016,0.93035,0.00063,2.46141,0.83811,6.28766,0.32854,1.8694,0.01586,0.49634,0.34727,0.0,0.06594,0.41144,0.0,0.0,0.0,0.60227,0.0,1.0,0.0,0.0,0.0
0.0,0.01033,0.01037,0.93086,0.00077,2.70606,0.95,6.81229,0.35111,1.99365,0.01913,0.5556,0.41235,0.0,0.06471,0.51035,0.0,0.0,0.0,0.44783,0.0,1.0,0.0,0.0,0.0
0.0,0.00917,0.01055,0.93086,0.00061,2.1235,0.95,7.60052,0.35566,1.90971,0.01429,0.58102,0.33517,0.0,0.06517,0.4293,0.0,0.0,0.0,0.71658,0.0,1.0,0.0,0.0,0.0
0.0,0.01041,0.01031,0.92691,0.0005,3.12048,0.78583,8.27508,0.53701,1.40765,0.01861,0.69035,0.33672,0.0,0.09063,0.55591,0.0,0.0,0.0,0.45532,0.0,1.0,0.0,0.0,0.0
0.0,0.01066,0.0104,0.91991,0.00063,2.35999,0.821,6.286,0.33487,1.91449,0.01555,0.50451,0.36699,0.0,0.06667,0.4262,0.0,0.0,0.0,0.57064,0.0,1.0,0.0,0.0,0.0
0.0,0.00998,0.01161,0.91679,0.00059,4.07961,0.68852,9.48426,0.46299,1.43169,0.01735,0.57461,0.3469,0.0,0.1222,0.49361,0.0,0.0,0.0,0.3846,0.0,0.93585,0.0,0.0,0.0
0.0,0.00964,0.01052,0.93188,0.00054,3.20586,0.80274,7.31361,0.47358,1.40889,0.0187,0.68745,0.44466,0.0,0.09937,0.55564,0.0,0.0,0.0,0.46538,0.0,1.0,0.0,0.0,0.0
0.0,0.01078,0.01075,0.98,0.00052,3.018,0.85217,6.13953,0.4162,1.99247,0.0166,0.50984,0.35517,0.0,0.07466,0.50287,0.0,0.0,0.0,0.59739,0.0,1.0,0.0,0.0,0.0
0.0,0.00801,0.01279,0.95022,0.00035,3.4495,0.78083,6.37069,0.48958,1.12204,0.0147,0.61137,0.35646,0.0,0.09896,0.46055,0.0,0.0,0.0,0.50564,0.0,0.80493,0.0,0.0,0.0
